index,Date,Storm_ID,Path,Storm_Name,Observation_Date,Observation_Time,Observation_Event,Observation_Storm_Type,Observation_Latitude,Observation_Longitude,Observation_Max_Wind,Observation_Minimum_Pressure
0,6/25/1851 12:00:00 AM,AL011851,1,UNNAMED,18510625,0,, HU,28.0,-94.8,80,-999
1,6/25/1851 6:00:00 AM,AL011851,2,UNNAMED,18510625,600,, HU,28.0,-95.4,80,-999
2,6/25/1851 12:00:00 PM,AL011851,3,UNNAMED,18510625,1200,, HU,28.0,-96.0,80,-999
3,6/25/1851 6:00:00 PM,AL011851,4,UNNAMED,18510625,1800,, HU,28.1,-96.5,80,-999
4,6/25/1851 9:00:00 PM,AL011851,5,UNNAMED,18510625,2100, L, HU,28.2,-96.8,80,-999
5,6/26/1851 12:00:00 AM,AL011851,6,UNNAMED,18510626,0,, HU,28.2,-97.0,70,-999
6,6/26/1851 6:00:00 AM,AL011851,7,UNNAMED,18510626,600,, TS,28.3,-97.6,60,-999
7,6/26/1851 12:00:00 PM,AL011851,8,UNNAMED,18510626,1200,, TS,28.4,-98.3,60,-999
8,6/26/1851 6:00:00 PM,AL011851,9,UNNAMED,18510626,1800,, TS,28.6,-98.9,50,-999
9,6/27/1851 12:00:00 AM,AL011851,10,UNNAMED,18510627,0,, TS,29.0,-99.4,50,-999
10,6/27/1851 6:00:00 AM,AL011851,11,UNNAMED,18510627,600,, TS,29.5,-99.8,40,-999
11,6/27/1851 12:00:00 PM,AL011851,12,UNNAMED,18510627,1200,, TS,30.0,-100.0,40,-999
12,6/27/1851 6:00:00 PM,AL011851,13,UNNAMED,18510627,1800,, TS,30.5,-100.1,40,-999
13,6/28/1851 12:00:00 AM,AL011851,14,UNNAMED,18510628,0,, TS,31.0,-100.2,40,-999
14,7/5/1851 12:00:00 PM,AL021851,1,UNNAMED,18510705,1200,, HU,22.2,-97.6,80,-999
15,7/10/1851 12:00:00 PM,AL031851,1,UNNAMED,18510710,1200,, TS,12.0,-60.0,50,-999
16,8/16/1851 12:00:00 AM,AL041851,1,UNNAMED,18510816,0,, TS,13.4,-48.0,40,-999
17,8/16/1851 6:00:00 AM,AL041851,2,UNNAMED,18510816,600,, TS,13.7,-49.5,40,-999
18,8/16/1851 12:00:00 PM,AL041851,3,UNNAMED,18510816,1200,, TS,14.0,-51.0,50,-999
19,8/16/1851 6:00:00 PM,AL041851,4,UNNAMED,18510816,1800,, TS,14.4,-52.8,50,-999
20,8/17/1851 12:00:00 AM,AL041851,5,UNNAMED,18510817,0,, TS,14.9,-54.6,60,-999
21,8/17/1851 6:00:00 AM,AL041851,6,UNNAMED,18510817,600,, TS,15.4,-56.5,60,-999
22,8/17/1851 12:00:00 PM,AL041851,7,UNNAMED,18510817,1200,, HU,15.9,-58.5,70,-999
23,8/17/1851 6:00:00 PM,AL041851,8,UNNAMED,18510817,1800,, HU,16.1,-60.4,70,-999
24,8/18/1851 12:00:00 AM,AL041851,9,UNNAMED,18510818,0,, HU,16.6,-62.5,80,-999
25,8/18/1851 6:00:00 AM,AL041851,10,UNNAMED,18510818,600,, HU,16.9,-64.1,80,-999
26,8/18/1851 12:00:00 PM,AL041851,11,UNNAMED,18510818,1200,, HU,17.2,-66.0,90,-999
27,8/18/1851 6:00:00 PM,AL041851,12,UNNAMED,18510818,1800,, HU,17.6,-67.6,90,-999
28,8/19/1851 12:00:00 AM,AL041851,13,UNNAMED,18510819,0,, HU,18.0,-69.3,90,-999
29,8/19/1851 6:00:00 AM,AL041851,14,UNNAMED,18510819,600,, HU,18.4,-71.1,70,-999
30,8/19/1851 12:00:00 PM,AL041851,15,UNNAMED,18510819,1200,, TS,18.9,-72.6,60,-999
31,8/19/1851 6:00:00 PM,AL041851,16,UNNAMED,18510819,1800,, TS,19.4,-74.3,60,-999
32,8/20/1851 12:00:00 AM,AL041851,17,UNNAMED,18510820,0,, HU,19.9,-75.9,70,-999
33,8/20/1851 6:00:00 AM,AL041851,18,UNNAMED,18510820,600,, HU,20.5,-77.6,70,-999
34,8/20/1851 12:00:00 PM,AL041851,19,UNNAMED,18510820,1200,, HU,21.2,-79.0,70,-999
35,8/20/1851 6:00:00 PM,AL041851,20,UNNAMED,18510820,1800,, HU,21.9,-80.4,70,-999
36,8/21/1851 12:00:00 AM,AL041851,21,UNNAMED,18510821,0,, TS,22.6,-81.4,60,-999
37,8/21/1851 6:00:00 AM,AL041851,22,UNNAMED,18510821,600,, TS,23.2,-82.5,60,-999
38,8/21/1851 12:00:00 PM,AL041851,23,UNNAMED,18510821,1200,, HU,23.9,-83.6,70,-999
39,8/21/1851 6:00:00 PM,AL041851,24,UNNAMED,18510821,1800,, HU,24.4,-84.3,70,-999
40,8/22/1851 12:00:00 AM,AL041851,25,UNNAMED,18510822,0,, HU,25.0,-84.9,80,-999
41,8/22/1851 6:00:00 AM,AL041851,26,UNNAMED,18510822,600,, HU,25.6,-85.5,80,-999
42,8/22/1851 12:00:00 PM,AL041851,27,UNNAMED,18510822,1200,, HU,26.2,-86.0,90,-999
43,8/22/1851 6:00:00 PM,AL041851,28,UNNAMED,18510822,1800,, HU,26.8,-86.3,90,-999
44,8/23/1851 12:00:00 AM,AL041851,29,UNNAMED,18510823,0,, HU,27.4,-86.5,100,-999
45,8/23/1851 6:00:00 AM,AL041851,30,UNNAMED,18510823,600,, HU,28.0,-86.6,100,-999
46,8/23/1851 12:00:00 PM,AL041851,31,UNNAMED,18510823,1200,, HU,28.5,-86.6,100,-999
47,8/23/1851 6:00:00 PM,AL041851,32,UNNAMED,18510823,1800,, HU,29.6,-86.1,100,-999
48,8/23/1851 9:00:00 PM,AL041851,33,UNNAMED,18510823,2100, L, HU,30.1,-85.7,100,-999
49,8/24/1851 12:00:00 AM,AL041851,34,UNNAMED,18510824,0,, HU,30.7,-85.1,90,-999
50,8/24/1851 6:00:00 AM,AL041851,35,UNNAMED,18510824,600,, HU,31.6,-84.1,70,-999
51,8/24/1851 12:00:00 PM,AL041851,36,UNNAMED,18510824,1200,, TS,32.5,-83.0,60,-999
52,8/24/1851 6:00:00 PM,AL041851,37,UNNAMED,18510824,1800,, TS,33.4,-81.4,50,-999
53,8/25/1851 12:00:00 AM,AL041851,38,UNNAMED,18510825,0,, TS,34.0,-80.0,40,-999
54,8/25/1851 6:00:00 AM,AL041851,39,UNNAMED,18510825,600,, TS,34.8,-78.6,40,-999
55,8/25/1851 12:00:00 PM,AL041851,40,UNNAMED,18510825,1200,, TS,35.8,-77.0,40,-999
56,8/25/1851 6:00:00 PM,AL041851,41,UNNAMED,18510825,1800,, TS,36.8,-75.1,40,-999
57,8/26/1851 12:00:00 AM,AL041851,42,UNNAMED,18510826,0,, TS,37.8,-73.6,40,-999
58,8/26/1851 6:00:00 AM,AL041851,43,UNNAMED,18510826,600,, TS,38.9,-71.8,40,-999
59,8/26/1851 12:00:00 PM,AL041851,44,UNNAMED,18510826,1200,, TS,40.0,-70.0,40,-999
60,8/26/1851 6:00:00 PM,AL041851,45,UNNAMED,18510826,1800,, TS,41.3,-66.8,40,-999
61,8/27/1851 12:00:00 AM,AL041851,46,UNNAMED,18510827,0,, TS,42.8,-63.3,40,-999
62,8/27/1851 6:00:00 AM,AL041851,47,UNNAMED,18510827,600,, TS,44.5,-60.2,40,-999
63,8/27/1851 12:00:00 PM,AL041851,48,UNNAMED,18510827,1200,, TS,46.4,-57.2,40,-999
64,8/27/1851 6:00:00 PM,AL041851,49,UNNAMED,18510827,1800,, TS,48.5,-54.2,40,-999
65,9/13/1851 12:00:00 AM,AL051851,1,UNNAMED,18510913,0,, TS,32.5,-73.5,50,-999
66,9/13/1851 6:00:00 AM,AL051851,2,UNNAMED,18510913,600,, TS,32.5,-73.5,50,-999
67,9/13/1851 12:00:00 PM,AL051851,3,UNNAMED,18510913,1200,, TS,32.5,-73.5,50,-999
68,9/13/1851 6:00:00 PM,AL051851,4,UNNAMED,18510913,1800,, TS,32.5,-73.5,50,-999
69,9/14/1851 12:00:00 AM,AL051851,5,UNNAMED,18510914,0,, TS,32.5,-73.5,50,-999
70,9/14/1851 6:00:00 AM,AL051851,6,UNNAMED,18510914,600,, TS,32.5,-73.5,50,-999
71,9/14/1851 12:00:00 PM,AL051851,7,UNNAMED,18510914,1200,, TS,32.5,-73.5,50,-999
72,9/14/1851 6:00:00 PM,AL051851,8,UNNAMED,18510914,1800,, TS,32.5,-73.5,50,-999
73,9/15/1851 12:00:00 AM,AL051851,9,UNNAMED,18510915,0,, TS,32.5,-73.5,50,-999
74,9/15/1851 6:00:00 AM,AL051851,10,UNNAMED,18510915,600,, TS,32.5,-73.5,50,-999
75,9/15/1851 12:00:00 PM,AL051851,11,UNNAMED,18510915,1200,, TS,32.5,-73.5,50,-999
76,9/15/1851 6:00:00 PM,AL051851,12,UNNAMED,18510915,1800,, TS,32.5,-73.5,50,-999
77,9/16/1851 12:00:00 AM,AL051851,13,UNNAMED,18510916,0,, TS,32.5,-73.5,50,-999
78,9/16/1851 6:00:00 AM,AL051851,14,UNNAMED,18510916,600,, TS,32.5,-73.5,50,-999
79,9/16/1851 12:00:00 PM,AL051851,15,UNNAMED,18510916,1200,, TS,32.5,-73.5,50,-999
80,9/16/1851 6:00:00 PM,AL051851,16,UNNAMED,18510916,1800,, TS,32.5,-73.5,50,-999
81,10/16/1851 12:00:00 AM,AL061851,1,UNNAMED,18511016,0,, TS,28.7,-78.0,40,-999
82,10/16/1851 6:00:00 AM,AL061851,2,UNNAMED,18511016,600,, TS,29.1,-77.8,40,-999
83,10/16/1851 12:00:00 PM,AL061851,3,UNNAMED,18511016,1200,, TS,29.5,-77.5,50,-999
84,10/16/1851 6:00:00 PM,AL061851,4,UNNAMED,18511016,1800,, TS,30.1,-77.1,50,-999
85,10/17/1851 12:00:00 AM,AL061851,5,UNNAMED,18511017,0,, TS,30.7,-76.6,60,-999
86,10/17/1851 6:00:00 AM,AL061851,6,UNNAMED,18511017,600,, TS,31.2,-76.3,60,-999
87,10/17/1851 12:00:00 PM,AL061851,7,UNNAMED,18511017,1200,, TS,31.6,-75.9,60,-999
88,10/17/1851 6:00:00 PM,AL061851,8,UNNAMED,18511017,1800,, TS,32.0,-75.5,60,-999
89,10/18/1851 12:00:00 AM,AL061851,9,UNNAMED,18511018,0,, TS,32.7,-74.9,60,-999
90,10/18/1851 6:00:00 AM,AL061851,10,UNNAMED,18511018,600,, TS,33.3,-74.3,60,-999
91,10/18/1851 12:00:00 PM,AL061851,11,UNNAMED,18511018,1200,, TS,34.0,-73.8,60,-999
92,10/18/1851 6:00:00 PM,AL061851,12,UNNAMED,18511018,1800,, TS,35.3,-73.0,60,-999
93,10/19/1851 12:00:00 AM,AL061851,13,UNNAMED,18511019,0,, TS,37.0,-72.6,50,-999
94,10/19/1851 6:00:00 AM,AL061851,14,UNNAMED,18511019,600,, TS,38.5,-72.1,50,-999
95,10/19/1851 12:00:00 PM,AL061851,15,UNNAMED,18511019,1200,, TS,40.2,-71.8,50,-999
96,10/19/1851 3:00:00 PM,AL061851,16,UNNAMED,18511019,1500, L, TS,41.1,-71.7,50,-999
97,10/19/1851 6:00:00 PM,AL061851,17,UNNAMED,18511019,1800,, TS,42.0,-71.6,40,-999
98,8/19/1852 12:00:00 AM,AL011852,1,UNNAMED,18520819,0,, TS,20.5,-67.1,60,-999
99,8/19/1852 6:00:00 AM,AL011852,2,UNNAMED,18520819,600,, TS,20.7,-68.0,60,-999
100,8/19/1852 12:00:00 PM,AL011852,3,UNNAMED,18520819,1200,, TS,20.9,-68.8,60,-999
101,8/19/1852 6:00:00 PM,AL011852,4,UNNAMED,18520819,1800,, TS,21.1,-69.6,60,-999
102,8/20/1852 12:00:00 AM,AL011852,5,UNNAMED,18520820,0,, HU,21.2,-70.6,70,-999
103,8/20/1852 6:00:00 AM,AL011852,6,UNNAMED,18520820,600,, HU,21.5,-71.9,70,-999
104,8/20/1852 12:00:00 PM,AL011852,7,UNNAMED,18520820,1200,, HU,21.7,-73.0,70,-999
105,8/20/1852 6:00:00 PM,AL011852,8,UNNAMED,18520820,1800,, HU,21.9,-74.0,70,-999
106,8/21/1852 12:00:00 AM,AL011852,9,UNNAMED,18520821,0,, HU,22.1,-74.9,80,-999
107,8/21/1852 6:00:00 AM,AL011852,10,UNNAMED,18520821,600,, HU,22.2,-76.1,80,-999
108,8/21/1852 12:00:00 PM,AL011852,11,UNNAMED,18520821,1200,, HU,22.6,-77.1,80,-999
109,8/21/1852 6:00:00 PM,AL011852,12,UNNAMED,18520821,1800,, HU,22.9,-78.1,80,-999
110,8/22/1852 12:00:00 AM,AL011852,13,UNNAMED,18520822,0,, HU,23.2,-79.3,90,-999
111,8/22/1852 6:00:00 AM,AL011852,14,UNNAMED,18520822,600,, HU,23.5,-80.1,90,-999
112,8/22/1852 12:00:00 PM,AL011852,15,UNNAMED,18520822,1200,, HU,23.8,-81.1,90,-999
113,8/22/1852 6:00:00 PM,AL011852,16,UNNAMED,18520822,1800,, HU,24.2,-82.1,90,-999
114,8/23/1852 12:00:00 AM,AL011852,17,UNNAMED,18520823,0,, HU,24.7,-83.1,90,-999
115,8/23/1852 6:00:00 AM,AL011852,18,UNNAMED,18520823,600,, HU,25.2,-83.9,90,-999
116,8/23/1852 12:00:00 PM,AL011852,19,UNNAMED,18520823,1200,, HU,25.7,-84.6,90,-999
117,8/23/1852 6:00:00 PM,AL011852,20,UNNAMED,18520823,1800,, HU,26.2,-85.3,90,-999
118,8/24/1852 12:00:00 AM,AL011852,21,UNNAMED,18520824,0,, HU,26.7,-86.0,100,-999
119,8/24/1852 6:00:00 AM,AL011852,22,UNNAMED,18520824,600,, HU,27.2,-86.6,100,-999
120,8/24/1852 12:00:00 PM,AL011852,23,UNNAMED,18520824,1200,, HU,27.7,-87.1,100,-999
121,8/24/1852 6:00:00 PM,AL011852,24,UNNAMED,18520824,1800,, HU,28.2,-87.5,100,-999
122,8/25/1852 12:00:00 AM,AL011852,25,UNNAMED,18520825,0,, HU,28.6,-87.8,100,-999
123,8/25/1852 6:00:00 AM,AL011852,26,UNNAMED,18520825,600,, HU,28.8,-88.0,100,-999
124,8/25/1852 12:00:00 PM,AL011852,27,UNNAMED,18520825,1200,, HU,29.1,-88.2,100,-999
125,8/25/1852 6:00:00 PM,AL011852,28,UNNAMED,18520825,1800,, HU,29.4,-88.4,100,-999
126,8/26/1852 12:00:00 AM,AL011852,29,UNNAMED,18520826,0,, HU,29.8,-88.6,100,-999
127,8/26/1852 6:00:00 AM,AL011852,30,UNNAMED,18520826,600, L, HU,30.2,-88.6,100,961
128,8/26/1852 12:00:00 PM,AL011852,31,UNNAMED,18520826,1200,, HU,30.6,-88.5,90,-999
129,8/26/1852 6:00:00 PM,AL011852,32,UNNAMED,18520826,1800,, HU,31.2,-88.1,70,-999
130,8/27/1852 12:00:00 AM,AL011852,33,UNNAMED,18520827,0,, TS,31.8,-87.4,50,-999
131,8/27/1852 6:00:00 AM,AL011852,34,UNNAMED,18520827,600,, TS,32.3,-86.3,40,-999
132,8/27/1852 12:00:00 PM,AL011852,35,UNNAMED,18520827,1200,, TS,32.8,-84.8,40,-999
133,8/27/1852 6:00:00 PM,AL011852,36,UNNAMED,18520827,1800,, TS,33.2,-82.8,40,-999
134,8/28/1852 12:00:00 AM,AL011852,37,UNNAMED,18520828,0,, TS,33.5,-80.5,40,-999
135,8/28/1852 6:00:00 AM,AL011852,38,UNNAMED,18520828,600,, TS,33.8,-78.2,40,-999
136,8/28/1852 12:00:00 PM,AL011852,39,UNNAMED,18520828,1200,, TS,34.0,-76.0,40,-999
137,8/28/1852 6:00:00 PM,AL011852,40,UNNAMED,18520828,1800,, TS,34.4,-74.2,40,-999
138,8/29/1852 12:00:00 AM,AL011852,41,UNNAMED,18520829,0,, TS,35.2,-72.8,50,-999
139,8/29/1852 6:00:00 AM,AL011852,42,UNNAMED,18520829,600,, TS,36.4,-71.8,50,-999
140,8/29/1852 12:00:00 PM,AL011852,43,UNNAMED,18520829,1200,, TS,38.0,-70.8,50,-999
141,8/29/1852 6:00:00 PM,AL011852,44,UNNAMED,18520829,1800,, TS,39.6,-69.6,50,-999
142,8/30/1852 12:00:00 AM,AL011852,45,UNNAMED,18520830,0,, TS,41.0,-68.0,50,-999
143,9/5/1852 12:00:00 AM,AL021852,1,UNNAMED,18520905,0,, HU,17.0,-64.1,70,-999
144,9/5/1852 6:00:00 AM,AL021852,2,UNNAMED,18520905,600,, HU,17.4,-65.1,70,-999
145,9/5/1852 12:00:00 PM,AL021852,3,UNNAMED,18520905,1200,, HU,17.7,-66.1,70,-999
146,9/5/1852 6:00:00 PM,AL021852,4,UNNAMED,18520905,1800,, TS,18.2,-67.1,60,-999
147,9/6/1852 12:00:00 AM,AL021852,5,UNNAMED,18520906,0,, TS,18.6,-68.8,60,-999
148,9/6/1852 6:00:00 AM,AL021852,6,UNNAMED,18520906,600,, TS,19.2,-70.1,50,-999
149,9/6/1852 12:00:00 PM,AL021852,7,UNNAMED,18520906,1200,, TS,19.5,-71.4,40,-999
150,9/6/1852 6:00:00 PM,AL021852,8,UNNAMED,18520906,1800,, TS,19.7,-72.5,40,-999
151,9/9/1852 12:00:00 AM,AL031852,1,UNNAMED,18520909,0,, HU,26.4,-90.4,70,-999
152,9/9/1852 6:00:00 AM,AL031852,2,UNNAMED,18520909,600,, HU,26.5,-89.6,70,-999
153,9/9/1852 12:00:00 PM,AL031852,3,UNNAMED,18520909,1200,, HU,26.6,-88.8,70,-999
154,9/9/1852 6:00:00 PM,AL031852,4,UNNAMED,18520909,1800,, HU,26.6,-88.1,70,-999
155,9/10/1852 12:00:00 AM,AL031852,5,UNNAMED,18520910,0,, HU,26.8,-87.4,70,-999
156,9/10/1852 6:00:00 AM,AL031852,6,UNNAMED,18520910,600,, HU,26.9,-86.6,70,-999
157,9/10/1852 12:00:00 PM,AL031852,7,UNNAMED,18520910,1200,, HU,27.1,-86.1,70,-999
158,9/10/1852 6:00:00 PM,AL031852,8,UNNAMED,18520910,1800,, HU,27.3,-85.6,70,-999
159,9/11/1852 12:00:00 AM,AL031852,9,UNNAMED,18520911,0,, HU,27.5,-85.1,70,-999
160,9/11/1852 6:00:00 AM,AL031852,10,UNNAMED,18520911,600,, HU,27.7,-84.6,70,-999
161,9/11/1852 12:00:00 PM,AL031852,11,UNNAMED,18520911,1200,, HU,27.8,-84.0,70,-999
162,9/11/1852 6:00:00 PM,AL031852,12,UNNAMED,18520911,1800,, HU,27.9,-83.4,70,-999
163,9/12/1852 12:00:00 AM,AL031852,13,UNNAMED,18520912,0, L, HU,28.0,-82.8,70,-999
164,9/12/1852 6:00:00 AM,AL031852,14,UNNAMED,18520912,600,, TS,28.1,-82.2,60,-999
165,9/12/1852 12:00:00 PM,AL031852,15,UNNAMED,18520912,1200,, TS,28.2,-81.5,50,-999
166,9/12/1852 6:00:00 PM,AL031852,16,UNNAMED,18520912,1800,, TS,28.5,-80.5,50,-999
167,9/13/1852 12:00:00 AM,AL031852,17,UNNAMED,18520913,0,, TS,29.2,-79.0,60,-999
168,9/13/1852 6:00:00 AM,AL031852,18,UNNAMED,18520913,600,, HU,30.4,-77.0,70,-999
169,9/13/1852 12:00:00 PM,AL031852,19,UNNAMED,18520913,1200,, HU,32.0,-74.5,70,-999
170,9/13/1852 6:00:00 PM,AL031852,20,UNNAMED,18520913,1800,, HU,34.0,-71.5,70,-999
